2023/12/06-00:05:39 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-4]
2023/12/06-00:05:39 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-2]
2023/12/06-00:05:40 INFO  this is myFilter, url: /OnlineJudge/contest/status - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-8]
2023/12/06-00:05:40 INFO  this is myFilter, url: /OnlineJudge/websocket/2021k8009916003 - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-12]
2023/12/06-00:05:40 INFO  用户连接:2021k8009916003 - c.s.o.common.utils.WebSocketService - [http-nio-127.0.0.1-8080-exec-12]
2023/12/06-00:05:43 INFO  this is myFilter, url: /OnlineJudge/contest/setStatus - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-11]
2023/12/06-00:05:44 INFO  2021k8009916003用户退出 - c.s.o.common.utils.WebSocketService - [http-nio-127.0.0.1-8080-exec-3]
2023/12/06-00:05:45 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-6]
2023/12/06-00:05:45 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-13]
2023/12/06-00:05:45 INFO  this is myFilter, url: /OnlineJudge/contest/status - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-7]
2023/12/06-00:05:45 INFO  this is myFilter, url: /OnlineJudge/websocket/2021k8009916003 - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-4]
2023/12/06-00:05:45 INFO  用户连接:2021k8009916003 - c.s.o.common.utils.WebSocketService - [http-nio-127.0.0.1-8080-exec-4]
2023/12/06-00:05:49 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-2]
2023/12/06-00:05:49 INFO  this is myFilter, url: /OnlineJudge/contest/info/main - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-8]
2023/12/06-00:05:51 INFO  this is myFilter, url: /OnlineJudge/contest/contestList - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-12]
